time	V(n002)	V(n005)
6.691577187104514e-04	8.618687e-03	1.173604e-04
6.703295937104514e-04	1.288922e-02	1.725602e-04
6.715014687104514e-04	1.715926e-02	2.277558e-04
6.739428749604516e-04	2.605615e-02	3.427657e-04
6.763842812104517e-04	3.492651e-02	4.574429e-04
6.788256874604518e-04	4.377033e-02	5.717874e-04
6.812670937104519e-04	5.258760e-02	6.857991e-04
6.837084999604520e-04	6.137834e-02	7.994781e-04
6.861499062104521e-04	7.014254e-02	9.128243e-04
6.885913124604523e-04	7.888021e-02	1.025838e-03
7.000000000000000e-04	1.190130e-01	1.545085e-03
